fid,TIPO,FECHA,POINT_X,POINT_Y,ELEV_TERR,DEUT_2H,OXIG_18,Month,CooX,CooY,Lon,Lat,PROF_MAX,P/GW,O18,2H,,,
264,Pozo profundo,1/01/1998,999170,1019540,2553.467988,-67,-9.48,1,601471.2993,527628.7742,-74.08498971,4.772902335,122,0.97246,-9.21892357,-62.83369446,,,
265,Pozo profundo,10/31/2017,999170,1019540,2553.467988,-67,-9.48,10,601471.2993,527628.7742,-74.08498971,4.772902335,122,0.97246,-9.21892357,-62.83369446,,,
338,Pozo profundo,11/05/2010,993496,1004454,2550.952057,-65.4,-9.36,11,595818.8094,512539.5159,-74.13612487,4.636475981,129,1.267144,-11.86047173,-87.58904266,,,
324,Pozo profundo,11/17/2010,996171,991567,2680.307371,-69.5,-9.68,11,598509.607,499659.6166,-74.112011,4.519938954,133,1.232045,-11.92619991,-83.40280151,,,
32,Pozo profundo,1/01/2001,1013480,1020460,2595,-33.07,-10.82,1,615776.4119,528567.7238,-73.95599509,4.781211221,135,0.623611,-6.74747562,-42.10700226,,,
178,Pozo profundo,1/01/1998,984250,1021610,2587,-68.9,-9.63,1,586552.8833,529678.1466,-74.21948532,4.791606777,137,0.850749,-8.19271374,-60.92893982,,,
179,Pozo profundo,10/31/2017,984250,1021610,2587,-68.9,-9.63,10,586552.8833,529678.1466,-74.21948532,4.791606777,137,0.850749,-8.19271374,-60.92893982,,,
5,Pozo profundo,1/01/1998,974850,1017420,2573,-75.1,-10.94,1,577161.5321,525476.9118,-74.30420824,4.753693782,140,0.542463,-5.93454885,-39.49258041,,,
6,Pozo profundo,10/31/2017,975010,1017290,2571,-75.1,-10.94,10,577321.6519,525347.1687,-74.30276564,4.752518665,140,0.542463,-5.93454885,-39.49258041,,,
7,Pozo profundo,1/01/1999,974850,1017420,2573,-76.3,-10.9,1,577161.5321,525476.9118,-74.30420824,4.753693782,140,0.544454,-5.93454885,-39.49258041,,,
152,Pozo profundo,1/01/1998,1018270,1044830,2586,-75,-10.39,1,620531.8511,552938.6632,-73.91276281,5.001580035,140,0.828767,-8.61088562,-57.81786346,,,
153,Pozo profundo,10/31/2017,1018270,1044830,2586,-75,-10.39,10,620531.8511,552938.6632,-73.91276281,5.001580035,140,0.828767,-8.61088562,-57.81786346,,,
286,Pozo profundo,10/28/2010,999743,1001758,2581.947791,-68.2,-10.07,10,602067.5603,509852.3775,-74.07982404,4.6120982,140,1.034213,-10.41452503,-70.73886108,,,
200,Pozo profundo,1/01/1998,991296,1030310,2621,-77.7,-10.77,1,593584.9592,538385.0676,-74.15597869,4.870291482,142,0.874489,-9.41824150,-63.63973236,,,
201,Pozo profundo,10/31/2017,991296,1030310,2621,-77.7,-10.77,10,593584.9592,538385.0676,-74.15597869,4.870291482,142,0.874489,-9.41824150,-63.63973236,,,
168,Pozo profundo,1/01/1998,993360,1026100,2584,-70.7,-10.09,1,595654.09,534179.1018,-74.13736739,4.832222195,145,0.839518,-8.47073555,-60.83000183,,,
169,Pozo profundo,10/31/2017,993360,1026100,2584,-70.7,-10.09,10,595654.09,534179.1018,-74.13736739,4.832222195,145,0.839518,-8.47073555,-60.83000183,,,
208,Pozo profundo,1/01/1998,1015070,1036050,2582,-73.3,-10.67,1,617344.8106,544156.2207,-73.94163418,4.922189204,146.5,0.882811,-9.41959095,-64.66546631,,,
209,Pozo profundo,10/31/2017,1015070,1036050,2582,-73.3,-10.67,10,617344.8106,544156.2207,-73.94163418,4.922189204,146.5,0.882811,-9.41959095,-64.66546631,,,
333,Pozo profundo,11/03/2010,991061,999817,2555.963392,-74.8,-10.61,11,593390.5238,507900.7102,-74.15806544,4.594540975,147,1.239924,-13.15559387,-94.86664581,,,
99,Pozo profundo,11/18/2010,1001218,1021441,2554.89619,-68.9,-10.04,11,603516.1937,529532.0074,-74.06652834,4.790093152,150,0.745033,-7.48013449,-52.04560852,,,
170,Pozo profundo,1/01/1998,984630,1023800,2595,-70.9,-10.12,1,586929.8145,531867.978,-74.21606384,4.811411719,150,0.845385,-8.55529308,-59.90367126,,,
171,Pozo profundo,10/31/2017,984630,1023600,2596,-70.9,-10.12,10,586930.0845,531668.04,-74.21606347,4.809603113,150,0.845385,-8.55529308,-59.90367126,,,
325,Pozo profundo,1/01/1998,989455,1000280,2548.154129,-75.4,-10.64,1,591784.4017,508361.5015,-74.17253912,4.598726147,150,1.232654,-13.11544323,-94.60847473,,,
326,Pozo profundo,10/31/2017,989455,1000280,2548.154129,-75.4,-10.64,10,591784.4017,508361.5015,-74.17253912,4.598726147,150,1.232654,-13.11544323,-94.60847473,,,
313,Pozo profundo,11/04/2010,993326,997246,2560.27409,-74.1,-10.58,11,595658.1715,505333.3715,-74.13765151,4.571293154,150.74,1.182287,-12.50859451,-90.14734650,,,
299,Pozo profundo,1/01/2000,976580,996450,2429,-76.7,-10.41,1,578918.3716,504516.1516,-74.28855767,4.564066317,154,1.118912,-11.64787102,-81.03134155,,,
337,Pozo profundo,11/08/2010,988174,1002275,2546.036783,-73.4,-10.37,11,590501.2057,510354.2474,-74.18408612,4.616765484,155,1.256255,-13.02736282,-94.82211304,,,
44,Pozo profundo,1/01/1998,994300,1006000,2545.106753,-70.6,-10.08,1,596620.5642,514086.1203,-74.12887988,4.650457172,157,0.645498,-6.50662422,-42.59582520,,,
45,Pozo profundo,10/31/2017,994300,1006000,2545.106753,-70.6,-10.08,10,596620.5642,514086.1203,-74.12887988,4.650457172,157,0.645498,-6.50662422,-42.59582520,,,
304,Pozo profundo,1/01/1998,978900,990700,2594,-75.4,-10.54,1,581244.9345,498770.9897,-74.26763742,4.512074474,157,1.133971,-11.95205021,-84.26103973,,,
305,Pozo profundo,10/31/2017,978900,990700,2594,-75.4,-10.54,10,581244.9345,498770.9897,-74.26763742,4.512074474,157,1.133971,-11.95205021,-84.26103973,,,
310,Pozo profundo,1/01/1999,978900,990700,2594,-70,-10.22,1,581244.9345,498770.9897,-74.26763742,4.512074474,157,1.169477,-11.95205021,-84.26103973,,,
54,Pozo profundo,1/01/1998,995200,1006000,2545.831724,-68.1,-9.8,1,597520.3081,514087.2949,-74.12076852,4.650457717,161,0.663941,-6.50662422,-42.59582520,,,
39,Pozo profundo,11/16/2010,1005339,1017143,2558.795585,-67.2,-9.92,11,607641.8639,525240.6552,-74.0293826,4.75122446,170,0.631321,-6.26270485,-37.88114548,,,
288,Pozo profundo,1/01/1998,982020,998680,2561.908248,-76.7,-10.41,1,584353.7485,506752.4129,-74.23953969,4.584245132,170,1.04775,-10.90707493,-75.96119690,,,
289,Pozo profundo,10/31/2017,982020,998680,2561.908248,-76.7,-10.41,10,584353.7485,506752.4129,-74.23953969,4.584245132,170,1.04775,-10.90707493,-75.96119690,,,
296,Pozo profundo,1/01/1999,982020,998680,2561.908248,-70.1,-9.77,1,584353.7485,506752.4129,-74.23953969,4.584245132,170,1.116384,-10.90707493,-75.96119690,,,
71,Pozo profundo,11/17/2010,1000007,1010838,2551.437094,-64.7,-9.56,11,602319.6311,518930.2563,-74.07744482,4.694209525,173,0.700996,-6.70152426,-39.25138474,,,
283,Pozo profundo,1/01/1998,986280,1032010,2645,-68.9,-9.24,1,588568.1362,540077.6922,-74.20120311,4.885657817,175,1.01929,-9.41824150,-63.63973236,,,
284,Pozo profundo,10/31/2017,986280,1032010,2645,-68.9,-9.24,10,588568.1362,540077.6922,-74.20120311,4.885657817,175,1.01929,-9.41824150,-63.63973236,,,
156,Pozo profundo,1/01/1998,1003680,1021630,2554.06256,-61.9,-9.59,1,605977.2867,529724.2674,-74.04433474,4.791801574,177,0.829443,-7.95436144,-57.97944260,,,
157,Pozo profundo,10/31/2017,1003680,1021630,2554.06256,-61.9,-9.59,10,605977.2867,529724.2674,-74.04433474,4.791801574,177,0.829443,-7.95436144,-57.97944260,,,
172,Pozo profundo,11/02/2010,1003734,1021513,2554.017235,-63.2,-9.4,11,606031.4299,529607.3707,-74.04384801,4.790743512,177,0.846209,-7.95436144,-57.97944260,,,
140,Pozo profundo,1/01/1998,981790,1026360,2602,-74.2,-10.45,1,584087.2414,534423.3309,-74.24167108,4.834556148,180,0.818688,-8.55529308,-61.91918564,,,
141,Pozo profundo,10/31/2017,981790,1026360,2602,-74.2,-10.45,10,584087.2414,534423.3309,-74.24167108,4.834556148,180,0.818688,-8.55529308,-61.91918564,,,
150,Pozo profundo,1/01/1999,981790,1026360,2602,-69.4,-10.35,1,584087.2414,534423.3309,-74.24167108,4.834556148,180,0.826598,-8.55529308,-61.91918564,,,
173,Pozo profundo,1/01/1999,981790,1026360,2602,-70,-10.11,1,584087.2414,534423.3309,-74.24167108,4.834556148,180,0.846221,-8.55529308,-61.91918564,,,
247,Pozo profundo,1/01/1998,983855,1014440,2571,-57.1,-8.1,1,586167.5818,522509.8541,-74.2230324,4.726767429,180,0.925214,-7.49423122,-53.02352905,,,
248,Pozo profundo,10/31/2017,983855,1014435,2571,-57.1,-8.1,10,586167.5884,522504.8557,-74.22303239,4.726722214,180,0.925214,-7.49423122,-53.02352905,,,
322,Pozo profundo,11/03/2010,992213,1000129,2554.966679,-70.6,-10.12,11,594541.7845,508214.1049,-74.14768399,4.597363521,180,1.211287,-12.25822926,-87.26712036,,,
119,Pozo profundo,1/01/1999,1005200,1024600,2583.938079,-76.7,-10.91,1,607492.8863,532695.5445,-74.03063095,4.818658643,183,0.776419,-8.47073555,-58.81492233,,,
154,Pozo profundo,1/01/1998,1005200,1024600,2583.938079,-70,-10.22,1,607492.8863,532695.5445,-74.03063095,4.818658643,183,0.828839,-8.47073555,-58.81492233,,,
155,Pozo profundo,10/31/2017,1005200,1024600,2583.938079,-70,-10.22,10,607492.8863,532695.5445,-74.03063095,4.818658643,183,0.828839,-8.47073555,-58.81492233,,,
163,Pozo profundo,1/01/1998,974500,1016520,2574,-75.3,-10.99,1,576812.8489,524576.7472,-74.30736041,4.745554038,183,0.834981,-9.17644119,-62.95465469,,,
164,Pozo profundo,10/31/2017,974500,1016515,2573,-75.3,-10.99,10,576812.8556,524571.7489,-74.30736039,4.745508823,183,0.834981,-9.17644119,-62.95465469,,,
194,Pozo profundo,11/02/2010,1002967,1016227,2555.243881,-63.8,-9.4,11,605271.7029,524321.7341,-74.05076393,4.742942167,187,0.871118,-8.18851280,-52.62369156,,,
